ticker,permno,first_year,last_year,rows
10001,10001,1993,2017,5666
10002,10002,1993,2013,3873
10003,10003,1993,1995,665
10009,10009,1993,2000,1347
10010,10010,1993,1995,670
10011,10011,1993,1998,1287
10012,10012,1993,2005,3159
10016,10016,1993,2001,2103
10018,10018,1993,1995,198
10019,10019,1993,2002,2331
10020,10020,1993,1993,83
10021,10021,1993,1995,242
10025,10025,1993,2017,6002
10026,10026,1993,2020,7041
10028,10028,1993,2020,5735
10032,10032,1993,2020,7046
10035,10035,1993,2003,2764
10037,10037,1993,2004,2719
10039,10039,1993,2001,1134
10042,10042,1993,2008,3823
10043,10043,1993,1999,1424
10044,10044,1993,2020,6670
10046,10046,1993,1995,361
10047,10047,1993,1995,323
10048,10048,1993,1999,1700
10051,10051,1993,2020,6411
10055,10055,1993,1995,667
10056,10056,1993,2006,3023
10057,10057,1993,1996,884
10059,10059,1993,1994,324
10060,10060,1993,1998,1384
10062,10062,1993,1999,1658
10063,10063,1993,1993,132
10064,10064,1993,1997,1069
10065,10065,1993,2020,7051
10066,10066,1999,2002,799
10071,10071,1993,1997,1178
10074,10074,1993,1996,744
10075,10075,1993,1999,1649
10077,10077,1993,1994,180
10078,10078,1993,2010,4295
10079,10079,1993,1995,469
10080,10080,1993,2003,955
10082,10082,1993,1995,678
10083,10083,1993,1993,169
10084,10084,1993,1994,133
10085,10085,1993,2006,3298
10086,10086,1993,1994,268
10087,10087,1993,2000,1867
10089,10089,1993,2005,2945
10090,10090,1993,1995,641
10092,10092,1993,2010,4179
10094,10094,1993,1997,1249
10095,10095,1993,1994,503
10097,10097,1993,1996,832
10100,10100,1993,2013,3601
10104,10104,1993,2020,7047
10106,10106,1993,1995,416
10107,10107,1993,2020,7046
10108,10108,1993,2005,3177
10113,10113,2010,2020,2326
10114,10114,1993,2004,2936
10116,10116,1993,2017,4187
10119,10119,1993,2007,3711
10120,10120,1993,1998,1346
10122,10122,1993,2002,2421
10123,10123,1993,2002,2346
10126,10126,1993,2000,1873
10127,10127,1993,2002,1024
10128,10128,1994,2001,1624
10130,10130,1993,1999,809
